,Name,ra,dec
0,OGLE-GD-0006,16:03:00.62,-55:32:21
1,OGLE-GD-0001,16:47:10.74,-39:53:57
2,OGLE-BLG-0009,17:13:07.34,-32:55:17.6
3,OGLE-BLG-0010,17:18:05.54,-31:40:58.1
4,OGLE-BLG-0034,17:44:10.4,-39:06:47.6
5,OGLE-BLG-0002,18:25:00.19,-21:01:43.4
6,OGLE-GD-0006,16:03:00.62,-55:32:21
7,OGLE-DG-0016,18:42:39.87,-06:06:25.4
8,OGLE-BLG-0300,17:34:52.9,-39:10:08.3
9,OGLE-BLG-0002,18:25:00.19,-21:01:43.4
10,OGLE-BLG-0013,17:20:33.36,-26:13:44
11,OGLE-GD-0006,16:03:00.62,-55:32:21
13,OGLE-BLG-0034,17:44:10.4,-39:06:47.6
14,OGLE-BLG-0605,17:19:27.76,-28:13:39.9
15,OGLE-BLG-0257,18:09:08.11,-35:37:44.7
16,OGLE-BLG-0669,18:20:21.39,-18:16:09.8
17,OGLE-BLG-0674,17:30:56.62,-21:49:42.4
18,OGLE-BLG-0592,18:23:54.34,-26:39:09.8
